0,[0.20474999]
1,[-0.01753332]
2,[0.07809166]
3,[0.10929166]
4,[0.11126668]
5,[-0.15935001]
6,[-0.0681]
7,[0.06674167]
8,[0.01036667]
9,[-0.160025]
10,[0.09071666]
11,[0.13046667]
12,[0.1094]
13,[-0.02185]
14,[-0.0055]
15,[0.07763333]
16,[-0.07394999]
17,[0.20678332]
18,[-0.20589166]
19,[-0.022325]
20,[0.02299167]
21,[-0.05669167]
22,[0.30106667]
23,[0.00375833]
24,[-0.11811667]
25,[-0.13358333]
26,[-0.04555833]
27,[0.05706666]
28,[0.074525]
29,[0.13220001]
30,[-0.19154168]
31,[-0.04131666]
32,[-0.02173333]
33,[0.05349166]
34,[-0.43640833]
35,[0.20595834]
36,[0.21162499]
37,[-0.09915]
38,[0.03441667]
39,[-0.07668333]
40,[-0.02616667]
41,[-0.14743333]
42,[0.20923333]
43,[0.06668333]
44,[0.114375]
45,[0.53075001]
46,[-0.32423334]
47,[-0.49588334]
48,[-0.05385832]
49,[0.19382499]
50,[-0.00311666]
51,[0.07171666]
52,[-0.03410833]
53,[-0.043625]
54,[0.141275]
55,[-0.182725]
56,[-0.17225833]
57,[-0.50057501]
58,[0.68105001]
59,[-0.10640834]
60,[-0.01800833]
61,[-0.024725]
62,[0.26020834]
63,[0.03208332]
64,[0.00828334]
65,[-0.11861666]
66,[-0.12850834]
67,[0.067]
68,[0.2194]
69,[-0.17871667]
70,[-0.21178333]
71,[0.278575]
72,[-0.120375]
73,[0.11096667]
74,[-0.34432501]
75,[-0.16659999]
76,[0.08769166]
77,[-0.00320833]
78,[0.11691667]
79,[0.12458333]
80,[0.05898333]
81,[0.33699167]
82,[-0.19713333]
83,[0.14424166]
84,[0.04628334]
85,[-0.29445834]
86,[-0.07632499]
87,[0.21867499]
88,[0.1229]
89,[0.07720001]
90,[-0.27284168]
91,[-0.13304999]
92,[0.02313333]
93,[-0.10145833]
94,[0.53997499]
95,[-0.29896666]
96,[-0.23614166]
97,[0.01218332]
98,[0.14925834]
99,[0.1621]
100,[-0.20676666]
101,[-0.11212501]
102,[0.1044]
103,[0.04213334]
104,[-0.06404167]
105,[-0.01919167]
106,[-0.18930833]
107,[0.16066667]
108,[0.14815833]
109,[0.06844167]
110,[0.08683333]
111,[-0.297025]
112,[0.19896666]
113,[0.41270001]
114,[-0.40321667]
115,[-0.0317]
116,[0.164]
117,[0.13349167]
118,[0.04246666]
119,[-0.08625]
120,[0.01537501]
121,[-0.18873334]
122,[0.00080833]
123,[0.0178]
124,[-0.30429166]
125,[-0.24725]
126,[0.30657499]
127,[0.02450834]
128,[0.03643334]
129,[-0.14660834]
130,[-0.01435834]
131,[-0.21640832]
132,[-0.06785834]
133,[0.23744166]
134,[-0.14680832]
135,[0.05578332]
136,[0.38811668]
137,[-0.10539168]
138,[0.12667501]
139,[0.005575]
140,[-0.15356667]
141,[0.053725]
142,[-0.4404]
143,[0.14248333]
144,[0.45849167]
145,[-0.244825]
146,[0.298225]
147,[0.20918333]
148,[-0.10894999]
149,[0.03018332]
150,[-0.01211666]
151,[-0.25109166]
152,[-0.26663334]
153,[0.01608333]
154,[0.64664167]
155,[-0.33165833]
156,[0.06835833]
157,[-0.03480834]
158,[-0.20059166]
159,[0.00223334]
160,[0.18893332]
161,[-0.06397499]
162,[-0.266775]
163,[0.07209166]
164,[0.01825834]
165,[0.17163333]
166,[-0.22765834]
167,[0.25172501]
168,[-0.48011667]
169,[0.297525]
170,[0.34513333]
171,[-0.15574999]
172,[-0.39100834]
173,[0.370775]
174,[0.061525]
175,[-0.099425]
176,[0.27821666]
177,[0.17550001]
178,[-0.088875]
179,[-0.33376667]
180,[0.15523333]
181,[-0.271925]
182,[-0.28176666]
183,[0.1053]
184,[0.06028333]
185,[0.008725]
186,[-0.23498334]
187,[0.18183334]
188,[-0.38785833]
189,[-0.35905]
190,[0.27542499]
191,[0.34570001]
192,[0.19929166]
193,[0.20439167]
194,[-0.01595]
195,[0.00879167]
196,[0.29374166]
197,[-0.35359166]
198,[0.246]
199,[-0.06780834]
200,[0.11906667]
201,[0.1766]
202,[-0.04808333]
203,[0.12071666]
204,[-0.61135]
205,[-0.16921666]
206,[0.08026666]
207,[-0.19530833]
208,[0.16170834]
209,[0.25099166]
210,[-0.269525]
211,[-8.33999999e-06]
212,[0.03284168]
213,[0.22865832]
214,[0.06661668]
215,[-0.10201668]
216,[-0.12233332]
217,[0.06763332]
218,[0.15863334]
219,[0.07195834]
220,[-0.40446668]
221,[-0.32004166]
222,[0.44801667]
223,[-0.00741667]
224,[0.00161667]
225,[0.09521666]
226,[-0.39539166]
227,[-0.15152501]
228,[0.66109168]
229,[-0.31660834]
230,[-0.13009167]
231,[0.48415834]
232,[0.21268333]
233,[0.22736666]
234,[-0.34934999]
235,[-0.23841667]
236,[-0.11551667]
237,[0.13792501]
238,[-0.76570001]
239,[0.53575834]
240,[-0.02457501]
241,[0.13220834]
242,[0.14725834]
243,[-0.14850001]
244,[0.13195]
245,[-0.04726666]
246,[-0.448775]
247,[0.33078333]
248,[0.10673333]
249,[-0.58813333]
250,[1.062075]
251,[0.227925]
252,[-0.794125]
253,[0.2098]
254,[-0.1059917]
255,[-0.1327749]
256,[-0.3187418]
257,[0.4971751]
258,[0.2653333]
259,[-0.2612833]
260,[-0.0897501]
261,[0.1775668]
262,[-0.0759418]
263,[-0.5316749]
264,[0.404225]
265,[-0.0891167]
266,[-0.0833834]
267,[0.3178668]
268,[0.0169999]
269,[-0.8109666]
270,[0.2269833]
271,[0.1503666]
272,[0.1585001]
273,[0.23135]
274,[-0.0559001]
275,[-0.4844666]
276,[0.10245]
277,[-0.0176166]
278,[-0.0750918]
279,[-0.2517666]
280,[-0.0112583]
281,[0.41971663]
282,[-0.08484166]
283,[0.09465]
284,[-0.22891667]
285,[0.47579166]
286,[0.07689168]
287,[0.32731666]
288,[-0.474875]
289,[-0.19263334]
290,[0.43309168]
291,[0.31794169]
292,[0.14857497]
293,[-0.1454334]
294,[-0.1595166]
295,[-0.4676]
296,[0.3157584]
297,[0.0188082]
298,[-0.2642332]
299,[-0.3024251]
300,[0.332775]
301,[0.1852251]
302,[-0.3187418]
303,[-0.0638999]
304,[0.2861333]
305,[-0.1004833]
306,[-0.1120084]
307,[0.1734334]
308,[-0.0330834]
309,[-0.6691583]
310,[-0.044]
311,[0.293]
312,[-0.1265167]
313,[0.3103251]
314,[0.3743499]
315,[-0.3642416]
316,[0.0007749]
317,[-0.1720499]
318,[0.0839666]
319,[0.2293334]
320,[0.0423583]
321,[-0.21593333]
322,[0.46628336]
323,[-0.01419173]
324,[0.5042917]
325,[-0.4970833]
326,[-0.4374584]
327,[0.1127167]
328,[-0.2036167]
329,[0.1002667]
330,[0.3518584]
331,[-0.0942668]
332,[0.1280834]
333,[0.4381167]
334,[0.046075]
335,[-0.2172334]
336,[-0.3649]
337,[-0.2075666]
338,[0.1577583]
339,[0.000975]
340,[-0.2317167]
341,[0.1347251]
342,[0.0931582]
343,[-0.0449749]
344,[0.1517833]
345,[-0.5452917]
346,[0.0116834]
347,[0.6235833]
348,[-0.31585]
349,[-0.020675]
350,[-0.0417]
351,[0.1510417]
352,[0.1928499]
353,[-0.0572666]
354,[-0.0746083]
355,[-0.1909167]
356,[-0.487725]
357,[0.0427583]
358,[0.2451251]
359,[-0.5436751]
360,[0.0495167]
361,[0.7245917]
362,[0.0053833]
363,[0.1453416]
364,[0.1263584]
365,[0.1682584]
366,[-0.3400084]
367,[-0.079375]
368,[-0.0053]
369,[0.8101583]
370,[-0.9818583]
371,[-0.412125]
372,[1.0719583]
373,[-0.5547666]
374,[0.193]
375,[-0.2689917]
376,[-0.0418]
377,[-0.3499]
378,[0.2030333]
379,[0.5229417]
380,[0.1932417]
381,[-0.2078417]
